Customer♦♥♠♣Provider♦♥♠♣Payments♦♥♠♣Kilowatt♦♥♠♣Duration♦♥♠♣Datepost♦♥♠♣Dateload♦♥♠♣ID
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣123.00♦♥♠♣123.0♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣LHGLD34645
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣49♦♥♠♣64800♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣9JGI70695S
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣39♦♥♠♣25200♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣L9RIBJ0478
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣75♦♥♠♣32400♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣GAXPT3Y53Y
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣58♦♥♠♣57600♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣NWZ0TOXUWS
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣47♦♥♠♣56400♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣J40AR1CTHH
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣64♦♥♠♣86400♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣N8CUN302WX
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣75♦♥♠♣54000♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣2QOIKH3ZC6
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣57♦♥♠♣39600♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣3RKK6TFEQX
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣48♦♥♠♣54500♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣PLCYUG0VKG
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣79♦♥♠♣76500♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣Q7RRYZ6VKY
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣85♦♥♠♣17500♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣XB8QIAWMP8
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣74♦♥♠♣16400♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣GW1I7S35RT
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣68♦♥♠♣21600♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣ES3RJDXJ3A
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣63♦♥♠♣12600♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣TGYU57HV6P
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣46♦♥♠♣17500♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣B0MX1BMDC8
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣36♦♥♠♣13300♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣Q9Z8I160Y9
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣74♦♥♠♣17600♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣DC0BTFAQ3S
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣58♦♥♠♣14300♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣K28N9UAOHR
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣75♦♥♠♣56500♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣8JEOI9559E
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣46♦♥♠♣47500♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣3UQVKBCT3Y
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣36♦♥♠♣32000♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣W42WU8AKG4
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣68♦♥♠♣15200♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣LDDOS9IV0K
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣58♦♥♠♣79500♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣00T84R30DM
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣59♦♥♠♣46500♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣ARRQZD7JPK
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣75♦♥♠♣35200♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣NWT1C5TN2H
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣47♦♥♠♣14600♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣PYZKTM2808
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣58♦♥♠♣86400♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣N3WXB5FNKC
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣48♦♥♠♣54000♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣155J36KMWA
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣79♦♥♠♣39600♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣0O2GM3FJM5
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣85♦♥♠♣54500♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣0CIVPHQA5B
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣74♦♥♠♣76500♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣F0DILYSZ35
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣68♦♥♠♣17500♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣QU8ACX3NR9
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣63♦♥♠♣16400♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣AR1SPLXYI6
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣46♦♥♠♣21600♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣WYUWT9AY53
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣36♦♥♠♣12600♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣WFKRGPC2RX
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣74♦♥♠♣17500♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣8ECF4VWVUV
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣58♦♥♠♣13300♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣VGCG85FP4Z
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣75♦♥♠♣17600♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣D7MUE04OD0
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣46♦♥♠♣14300♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣YR93UZ4042
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣36♦♥♠♣56500♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣TEIJKAQVA7
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣68♦♥♠♣47500♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣SJMKUIFGMZ
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣58♦♥♠♣32000♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣YS6M747R7X
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣59♦♥♠♣15200♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣5EOW4K7DD8
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣75♦♥♠♣79500♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣TM2H3UFOID
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣58♦♥♠♣46500♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣V5DRH7LAZE
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣75♦♥♠♣86400♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣T3I9MHG2C0
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣46♦♥♠♣54000♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣C5J19WLNRC
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣36♦♥♠♣39600♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣U8YDWEMXQ3
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣68♦♥♠♣54500♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣BIUK3EIY5A
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣58♦♥♠♣76500♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣KFEWSMMRGA
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣59♦♥♠♣17500♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣UONZH6D9OZ
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣75♦♥♠♣16400♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣VJPSLIVLKK
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣47♦♥♠♣21600♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣EBE7DX3431
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣58♦♥♠♣12600♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣W1UDG8NBWX
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣48♦♥♠♣17500♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣O6MYKZ2OWP
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣79♦♥♠♣13300♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣0L341LD96J
2015L87651♦♥♠♣none♦♥♠♣0.0♦♥♠♣58♦♥♠♣17600♦♥♠♣21:00:00 Friday || March 29, 2019♦♥♠♣none♦♥♠♣PZNOGJ19US
